Task_ID,Duration,Start_Time,End_Time,Completion_Time
5,1,0,1,1
6,1,0,1,1
14,1,0,1,1
62,1,0,1,1
78,1,0,1,1
7,1,1,2,1
13,1,1,2,1
91,1,1,2,1
24,2,1,3,2
72,2,1,3,2
43,1,2,3,1
55,1,2,3,1
93,2,2,4,2
90,1,3,4,1
71,2,3,5,2
38,2,3,5,2
3,2,4,6,2
46,4,3,7,4
2,3,4,7,3
75,2,5,7,2
86,2,5,7,2
22,2,6,8,2
83,2,7,9,2
31,3,7,10,3
57,3,7,10,3
34,2,8,10,2
28,5,7,12,5
19,3,9,12,3
35,3,10,13,3
63,3,10,13,3
0,3,10,13,3
79,3,12,15,3
68,3,13,16,3
73,3,13,16,3
27,3,13,16,3
96,5,12,17,5
25,4,15,19,4
92,3,16,19,3
82,4,16,20,4
37,4,16,20,4
12,6,17,23,6
51,4,19,23,4
9,4,19,23,4
99,4,20,24,4
59,4,20,24,4
1,5,23,28,5
36,5,23,28,5
81,4,24,28,4
98,6,23,29,6
18,5,24,29,5
8,5,28,33,5
60,5,28,33,5
33,5,28,33,5
45,5,29,34,5
16,7,29,36,7
20,5,33,38,5
49,5,33,38,5
52,6,33,39,6
48,5,34,39,5
39,7,36,43,7
32,5,38,43,5
67,5,38,43,5
77,5,39,44,5
29,7,39,46,7
15,6,43,49,6
17,6,43,49,6
94,5,44,49,5
85,7,43,50,7
66,9,46,55,9
47,6,49,55,6
58,6,49,55,6
21,6,49,55,6
10,8,50,58,8
61,6,55,61,6
76,6,55,61,6
80,7,55,62,7
70,9,55,64,9
11,8,58,66,8
88,6,61,67,6
23,7,61,68,7
74,8,62,70,8
41,8,66,74,8
53,7,67,74,7
26,7,68,75,7
84,9,70,79,9
50,8,74,82,8
44,8,74,82,8
30,7,75,82,7
65,7,82,89,7
56,8,82,90,8
87,9,82,91,9
69,7,89,96,7
89,8,90,98,8
4,9,96,105,9
42,9,98,107,9
40,9,105,114,9
64,9,107,116,9
54,9,114,123,9
95,9,116,125,9
97,9,125,134,9
